time,job_id,num_gpu,submit_time,start_time,end_time,executed_time,JCT,duration,pending_time,preempt,promote
932456,21,4,912416,912416,932456,20040,20040,18842,1198,2,0
985990,41,1,982125,982125,985990,3865,3865,3865,0,0,0
1002141,47,1,993353,993353,1002141,8788,8788,8788,0,0,0
1002245,39,4,963028,963028,1002245,39217,39217,37076,2141,3,0
1005484,53,1,1003841,1003841,1005484,1643,1643,1643,0,0,0
1009393,58,1,1007947,1007947,1009393,1446,1446,1446,0,0,0
1012535,57,1,1006297,1006297,1012535,6238,6238,6238,0,0,0
1014237,42,4,989813,989813,1014237,24424,24424,17966,6458,3,0
1025289,64,4,1023510,1023510,1025289,1779,1779,1779,0,0,0
1040389,18,1,906242,906242,1040389,134147,134147,133333,814,1,0
1045986,63,1,1022908,1022908,1045986,23078,23078,21721,1357,1,0
1050491,49,4,999486,999486,1050491,51005,51005,23072,27933,4,0
1059552,22,4,912464,912464,1059552,147088,147088,145076,2012,3,0
1087127,86,1,1078349,1078349,1087127,8778,8778,8628,150,1,0
1116292,1,8,336541,336541,1116292,779751,779751,779751,0,0,0
1128313,91,1,1083560,1083560,1128313,44753,44753,31071,13682,4,0
1129450,17,1,906050,906050,1129450,223400,223400,223400,0,0,0
1151949,54,1,1004148,1004148,1151949,147801,147801,146329,1472,3,0
1182724,130,1,1158164,1158164,1182724,24560,24560,15852,8708,2,0
1185003,131,1,1158343,1158343,1185003,26660,26660,16350,10310,2,0
1191029,95,1,1093901,1093901,1191029,97128,97128,90084,7044,4,0
1204837,76,1,1058834,1058834,1204837,146003,146003,145090,913,3,0
1237035,177,1,1234963,1234963,1237035,2072,2072,2072,0,0,0
1252815,20,4,912363,912363,1252815,340452,340452,339638,814,1,0
1254192,111,1,1099017,1099017,1254192,155175,155175,86974,68201,3,0
1279033,72,1,1030698,1030698,1279033,248335,248335,244449,3886,3,0
1286538,89,1,1078558,1078558,1286538,207980,207980,188501,19479,9,0
1303089,140,1,1161628,1161628,1303089,141461,141461,89054,52407,17,0
1327421,228,8,1326576,1326576,1327421,845,845,845,0,0,0
1333347,133,1,1161506,1161506,1333347,171841,171841,149480,22361,16,0
1334618,142,1,1165251,1165251,1334618,169367,169367,108996,60371,16,0
1416312,151,1,1165398,1165398,1416312,250914,250914,60816,190098,10,0
1446946,88,2,1078520,1078520,1446946,368426,368426,219464,148962,30,0
1453768,92,1,1087027,1087027,1453768,366741,366741,354382,12359,10,0
1466925,259,4,1466312,1466312,1466925,613,613,613,0,0,0
1535086,15,4,884079,884079,1535086,651007,651007,651007,0,0,0
1548892,87,1,1078499,1078499,1548892,470393,470393,458795,11598,11,0
1556847,48,1,996568,996568,1556847,560279,560279,559872,407,1,0
1568337,51,1,999843,999843,1568337,568494,568494,565576,2918,4,0
1585854,280,8,1584868,1584868,1585854,986,986,986,0,0,0
1594531,283,1,1590920,1590920,1594531,3611,3611,3611,0,0,0
1594878,291,1,1593034,1593034,1594878,1844,1844,1844,0,0,0
1596522,286,1,1592992,1592992,1596522,3530,3530,3530,0,0,0
1597537,82,1,1064215,1064215,1597537,533322,533322,526972,6350,7,0
1610039,341,1,1609030,1609030,1610039,1009,1009,1009,0,0,0
1610482,347,1,1609092,1609092,1610482,1390,1390,1390,0,0,0
1610589,315,1,1608786,1608786,1610589,1803,1803,1803,0,0,0
1610733,343,1,1609064,1609064,1610733,1669,1669,1669,0,0,0
1610819,328,1,1608902,1608902,1610819,1917,1917,1917,0,0,0
1610975,314,1,1608778,1608778,1610975,2197,2197,2197,0,0,0
1611187,313,1,1608770,1608770,1611187,2417,2417,2417,0,0,0
1612162,310,1,1608397,1608397,1612162,3765,3765,3765,0,0,0
1612396,321,1,1608835,1608835,1612396,3561,3561,3561,0,0,0
1614091,348,1,1609100,1609100,1614091,4991,4991,4991,0,0,0
1614470,338,1,1609005,1609005,1614470,5465,5465,5465,0,0,0
1616634,354,1,1612763,1612763,1616634,3871,3871,3871,0,0,0
1645619,104,1,1095751,1095751,1645619,549868,549868,508779,41089,9,0
1664870,363,1,1664264,1664264,1664870,606,606,606,0,0,0
1686293,156,1,1165490,1165490,1686293,520803,520803,116812,403991,12,0
1699291,312,1,1608762,1608762,1699291,90529,90529,7370,83159,1,0
1700941,289,1,1593019,1593019,1700941,107922,107922,9269,98653,1,0
1701314,290,1,1593027,1593027,1701314,108287,108287,9593,98694,1,0
1702890,235,1,1365390,1365390,1702890,337500,337500,11332,326168,1,0
1703781,159,1,1165542,1165542,1703781,538239,538239,105178,433061,12,0
1708761,112,1,1099054,1099054,1708761,609707,609707,521221,88486,10,0
1710171,320,1,1608828,1608828,1710171,101343,101343,18137,83206,1,0
1726285,288,1,1593012,1593012,1726285,133273,133273,34633,98640,1,0
1728715,309,1,1608348,1608348,1728715,120367,120367,36150,84217,2,0
1732278,137,1,1161592,1161592,1732278,570686,570686,513449,57237,31,0
1733410,196,1,1252909,1252909,1733410,480501,480501,41978,438523,1,0
1737266,337,1,1608998,1608998,1737266,128268,128268,14494,113774,2,0
1741791,334,1,1608974,1608974,1741791,132817,132817,26337,106480,5,0
1744150,318,1,1608814,1608814,1744150,135336,135336,51061,84275,2,0
1744486,332,1,1608935,1608935,1744486,135551,135551,39584,95967,6,0
1744858,135,1,1161554,1161554,1744858,583304,583304,532683,50621,28,0
1745295,323,1,1608850,1608850,1745295,136445,136445,50559,85886,3,0
1746631,295,1,1593071,1593071,1746631,153560,153560,54831,98729,1,0
1750647,336,1,1608991,1608991,1750647,141656,141656,29048,112608,3,0
1754238,333,1,1608942,1608942,1754238,145296,145296,40348,104948,5,0
1757257,339,1,1609014,1609014,1757257,148243,148243,30922,117321,2,0
1761796,287,1,1593003,1593003,1761796,168793,168793,70162,98631,1,0
1762421,40,1,981636,981636,1762421,780785,780785,779201,1584,6,0
1767650,317,1,1608801,1608801,1767650,158849,158849,74605,84244,2,0
1767752,351,1,1609140,1609140,1767752,158612,158612,25843,132769,2,0
1771647,346,1,1609085,1609085,1771647,162562,162562,34361,128201,1,0
1775453,349,1,1609126,1609126,1775453,166327,166327,37675,128652,2,0
1776208,484,4,1775797,1775797,1776208,411,411,411,0,0,0
1784752,285,1,1592985,1592985,1784752,191767,191767,93141,98626,1,0
1798454,182,1,1244100,1244100,1798454,554354,554354,107201,447153,1,0
1798789,322,1,1608843,1608843,1798789,189946,189946,105653,84293,2,0
1802403,366,1,1678208,1678208,1802403,124195,124195,24851,99344,1,0
1814467,215,1,1280138,1280138,1814467,534329,534329,122955,411374,1,0
1828787,191,1,1251322,1251322,1828787,577465,577465,137374,440091,1,0
1832264,327,1,1608894,1608894,1832264,223370,223370,133730,89640,5,0
1837636,344,1,1609071,1609071,1837636,228565,228565,101992,126573,3,0
1843057,129,1,1157802,1157802,1843057,685255,685255,653007,32248,14,0
1844154,319,1,1608822,1608822,1844154,235332,235332,151052,84280,2,0
1844326,490,4,1842655,1842655,1844326,1671,1671,1671,0,0,0
1845922,127,1,1152816,1152816,1845922,693106,693106,656734,36372,12,0
1846427,186,1,1245315,1245315,1846427,601112,601112,155118,445994,1,0
1883777,138,1,1161607,1161607,1883777,722170,722170,657531,64639,30,0
1902014,330,1,1608921,1608921,1902014,293093,293093,198995,94098,6,0
1912589,335,1,1608983,1608983,1912589,303606,303606,194981,108625,6,0
1915964,77,1,1061017,1061017,1915964,854947,854947,845500,9447,7,0
1927842,520,4,1925297,1925297,1927842,2545,2545,2545,0,0,0
1932418,294,1,1593064,1593064,1932418,339354,339354,240635,98719,1,0
1936265,357,1,1634921,1634921,1936265,301344,301344,182067,119277,7,0
1947475,372,1,1690262,1690262,1947475,257213,257213,102221,154992,13,0
1947903,284,1,1592975,1592975,1947903,354928,354928,256309,98619,1,0
1948035,532,1,1944973,1944973,1948035,3062,3062,3062,0,0,0
1948370,329,1,1608914,1608914,1948370,339456,339456,247724,91732,6,0
1951433,367,1,1685457,1685457,1951433,265976,265976,147735,118241,11,0
1962953,292,1,1593050,1593050,1962953,369903,369903,271209,98694,1,0
1964075,160,1,1167323,1167323,1964075,796752,796752,360147,436605,12,0
1966465,311,1,1608755,1608755,1966465,357710,357710,273838,83872,2,0
1967158,552,1,1966322,1966322,1967158,836,836,836,0,0,0
1967849,551,1,1966298,1966298,1967849,1551,1551,1551,0,0,0
1970156,345,1,1609078,1609078,1970156,361078,361078,230792,130286,4,0
1971415,352,1,1609148,1609148,1971415,362267,362267,221668,140599,6,0
1971635,316,1,1608793,1608793,1971635,362842,362842,278817,84025,2,0
1975260,556,1,1974128,1974128,1975260,1132,1132,1132,0,0,0
2001566,168,1,1178118,1178118,2001566,823448,823448,310647,512801,1,0
2004873,165,1,1167735,1167735,2004873,837138,837138,313967,523171,1,0
2010095,603,1,2008146,2008146,2010095,1949,1949,1949,0,0,0
2011072,613,1,2008386,2008386,2011072,2686,2686,2686,0,0,0
2011731,597,1,2007995,2007995,2011731,3736,3736,3736,0,0,0
2025232,342,1,1609055,1609055,2025232,416177,416177,288709,127468,7,0
2038254,326,1,1608886,1608886,2038254,429368,429368,339505,89863,7,0
2071166,382,1,1690688,1690688,2071166,380478,380478,102298,278180,12,0
2077275,385,1,1690711,1690711,2077275,386564,386564,99401,287163,7,0
2077851,384,1,1690704,1690704,2077851,387147,387147,102197,284950,9,0
2092179,394,1,1690772,1690772,2092179,401407,401407,85730,315677,2,0
2108453,157,1,1165508,1165508,2108453,942945,942945,523606,419339,13,0
2109685,293,1,1593057,1593057,2109685,516628,516628,416508,100120,2,0
2131149,255,1,1450085,1450085,2131149,681064,681064,438178,242886,2,0
2170514,324,1,1608857,1608857,2170514,561657,561657,472086,89571,7,0
2172189,143,1,1165268,1165268,2172189,1006921,1006921,904899,102022,30,0
2176341,101,1,1095578,1095578,2176341,1080763,1080763,1046718,34045,9,0
2188604,649,4,2186327,2186327,2188604,2277,2277,2277,0,0,0
2197640,656,4,2197006,2197006,2197640,634,634,634,0,0,0
2212434,350,1,1609133,1609133,2212434,603301,603301,466146,137155,8,0
2231775,401,1,1690821,1690821,2231775,540954,540954,112753,428201,18,0
2235080,331,1,1608929,1608929,2235080,626151,626151,528275,97876,8,0
2240975,404,1,1690844,1690844,2240975,550131,550131,59287,490844,19,0
2241810,402,1,1690828,1690828,2241810,550982,550982,101870,449112,21,0
2310973,703,1,2308721,2308721,2310973,2252,2252,2252,0,0,0
2313674,406,1,1690857,1690857,2313674,622817,622817,101722,521095,21,0
2321141,234,1,1359082,1359082,2321141,962059,962059,628310,333749,2,0
2323899,713,1,2318623,2318623,2323899,5276,5276,5276,0,0,0
2355462,340,1,1609023,1609023,2355462,746439,746439,623848,122591,5,0
2395107,227,2,1322871,1322871,2395107,1072236,1072236,609923,462313,16,0
2408245,755,1,2406881,2406881,2408245,1364,1364,1364,0,0,0
2413366,761,1,2410799,2410799,2413366,2567,2567,2567,0,0,0
2476731,187,1,1245511,1245511,2476731,1231220,1231220,783417,447803,3,0
2503358,189,1,1245524,1245524,2503358,1257834,1257834,810009,447825,3,0
2504060,162,1,1167697,1167697,2504060,1336363,1336363,888019,448344,14,0
2504847,407,1,1690862,1690862,2504847,813985,813985,246718,567267,51,0
2524942,389,1,1690738,1690738,2524942,834204,834204,520370,313834,24,0
2532311,816,4,2530447,2530447,2532311,1864,1864,1864,0,0,0
2542963,154,1,1165455,1165455,2542963,1377508,1377508,1048928,328580,19,0
2557947,395,1,1690780,1690780,2557947,867167,867167,520384,346783,27,0
2569241,409,1,1690866,1690866,2569241,878375,878375,268409,609966,48,0
2586169,4,8,543390,543390,2586169,2042779,2042779,2042779,0,0,0
2594336,176,1,1233879,1233879,2594336,1360457,1360457,901824,458633,3,0
2613038,275,2,1560182,1560182,2613038,1052856,1052856,62075,990781,11,0
2682247,2,1,475911,475911,2682247,2206336,2206336,2206336,0,0,0
2689741,325,1,1608864,1608864,2689741,1080877,1080877,990370,90507,8,0
2707656,100,1,1095546,1095546,2707656,1612110,1612110,1589150,22960,11,0
2751756,375,1,1690292,1690292,2751756,1061464,1061464,868900,192564,21,0
2773883,912,4,2771579,2771579,2773883,2304,2304,2304,0,0,0
2777319,190,1,1245696,1245696,2777319,1531623,1531623,1083946,447677,3,0
2796619,429,1,1691284,1691284,2796619,1105335,1105335,108993,996342,14,0
2798791,928,1,2798007,2798007,2798791,784,784,784,0,0,0
2802191,931,1,2801211,2801211,2802191,980,980,980,0,0,0
2802284,927,1,2797842,2797842,2802284,4442,4442,4442,0,0,0
2812025,943,1,2809529,2809529,2812025,2496,2496,2496,0,0,0
2828504,380,1,1690344,1690344,2828504,1138160,1138160,875460,262700,28,0
2831820,204,1,1261278,1261278,2831820,1570542,1570542,1138341,432201,3,0
2832713,962,1,2826624,2826624,2832713,6089,6089,6089,0,0,0
2896538,1015,1,2893482,2893482,2896538,3056,3056,3056,0,0,0
2896584,1014,1,2893452,2893452,2896584,3132,3132,3132,0,0,0
2898663,1022,1,2896131,2896131,2898663,2532,2532,2532,0,0,0
2907505,1026,1,2904303,2904303,2907505,3202,3202,3202,0,0,0
2980310,107,1,1095914,1095914,2980310,1884396,1884396,1803571,80825,10,0
2981728,1048,1,2978540,2978540,2981728,3188,3188,3188,0,0,0
2986093,1053,1,2982970,2982970,2986093,3123,3123,3123,0,0,0
3004118,1069,8,3003144,3003144,3004118,974,974,974,0,0,0
3029136,426,1,1690924,1690924,3029136,1338212,1338212,395020,943192,32,0
3066086,144,1,1165288,1165288,3066086,1900798,1900798,1770151,130647,28,0
3293499,445,1,1691652,1691652,3293499,1601847,1601847,115563,1486284,21,0
3319784,433,1,1691387,1691387,3319784,1628397,1628397,531393,1097004,64,0
3336821,153,1,1165433,1165433,3336821,2171388,2171388,1848303,323085,19,0
3358239,1276,8,3357468,3357468,3358239,771,771,771,0,0,0
3359545,1282,1,3359134,3359134,3359545,411,411,411,0,0,0
3363478,1301,1,3362009,3362009,3363478,1469,1469,1469,0,0,0
